Date,Morning (L),Evening (L),Notes
2026-01-02,11.8,12.0,Sample entry
2026-01-04,14.2,10.1,Sample entry
2026-01-06,13.6,10.2,Sample entry
2026-01-07,10.8,8.6,Sample entry
2026-01-08,10.3,11.6,Sample entry
2026-01-09,10.7,10.0,Sample entry
2026-01-10,11.7,8.7,Sample entry
2026-01-11,11.9,10.4,Sample entry
2026-01-12,13.9,8.6,Sample entry
2026-01-13,12.7,11.8,Sample entry
2026-01-15,10.0,11.4,Sample entry
2026-01-16,12.0,8.7,Sample entry
2026-01-17,11.0,10.5,Sample entry
2026-01-18,13.5,9.5,Sample entry
2026-01-19,12.6,11.9,Sample entry
2026-01-20,11.8,8.5,Sample entry
2026-01-21,11.5,10.7,Sample entry
2026-01-22,14.9,11.9,Sample entry
2026-01-23,11.5,9.5,Sample entry
2026-01-24,11.4,8.4,Sample entry
2026-01-25,14.1,9.0,Sample entry
2026-01-26,14.5,8.2,Sample entry
2026-01-27,14.3,11.7,Sample entry
2026-01-28,10.9,9.1,Sample entry
2026-01-30,14.6,10.8,Sample entry
2026-01-31,13.0,8.9,Sample entry
2026-02-01,11.9,11.3,Sample entry
2026-02-02,11.4,8.4,Sample entry
2026-02-03,10.0,10.8,Sample entry
2026-02-04,13.6,8.3,Sample entry
2026-02-05,13.8,11.0,Sample entry
2026-02-06,14.4,8.6,Sample entry
2026-02-07,11.2,9.0,Sample entry
2026-02-08,13.2,10.8,Sample entry
2026-02-09,14.9,9.2,Sample entry
2026-02-10,10.2,11.0,Sample entry
2026-02-11,12.3,8.1,Sample entry
2026-02-12,13.1,11.7,Sample entry
2026-02-13,13.4,11.8,Sample entry
2026-02-14,10.2,11.5,Sample entry
2026-02-15,11.1,11.0,Sample entry
2026-02-16,12.6,9.2,Sample entry
2026-02-17,12.7,10.4,Sample entry
2026-02-18,10.4,9.3,Sample entry
2026-02-19,12.5,11.8,Sample entry
2026-02-20,10.4,10.7,Sample entry
2026-02-21,12.9,8.2,Sample entry
2026-02-22,13.8,9.2,Sample entry
2026-02-23,11.1,8.9,Sample entry
2026-02-24,13.6,10.1,Sample entry
2026-02-25,14.1,9.0,Sample entry
2026-02-26,10.1,11.4,Sample entry
2026-02-27,14.4,8.1,Sample entry
2026-02-28,10.4,11.8,Sample entry
2026-03-01,11.8,8.6,Sample entry
2026-03-02,11.6,11.2,Sample entry
2026-03-03,12.2,9.7,Sample entry
2026-03-05,13.2,8.1,Sample entry
2026-03-06,11.4,11.6,Sample entry
2026-03-07,13.4,11.6,Sample entry
2026-03-08,11.7,8.5,Sample entry
2026-03-11,12.4,11.8,Sample entry
2026-03-12,11.3,10.0,Sample entry
2026-03-14,12.4,11.5,Sample entry
