Date,Morning Liters,Evening Liters,Notes
2025-12-01,12.5,9.0,
2025-12-02,13.0,9.5,
2025-12-03,12.8,9.2,
2025-12-04,13.2,9.8,
2025-12-05,12.5,9.0,Bought new feed
2025-12-06,13.5,10.0,
2025-12-07,14.0,10.2,Sunday check
2025-12-08,13.0,9.5,
2025-12-09,12.9,9.4,
2025-12-10,13.1,9.6,
2025-12-11,12.7,9.1,
2025-12-12,13.3,9.7,
2025-12-13,13.0,9.5,
2025-12-14,13.8,10.0,
2025-12-15,12.5,9.0,Vet visit
2025-12-16,12.8,9.3,
2025-12-17,13.0,9.5,
2025-12-18,13.5,9.8,
2025-12-19,13.2,9.6,
2025-12-20,13.0,9.4,
2025-12-21,14.0,10.1,
2025-12-22,13.5,9.9,
2025-12-23,13.1,9.5,
2025-12-24,12.9,9.2,Christmas Eve
2025-12-25,12.5,9.0,Christmas Day
2025-12-26,13.0,9.5,
2025-12-27,13.2,9.7,
2025-12-28,13.5,9.9,
2025-12-29,13.0,9.5,
2025-12-30,12.8,9.3,
2025-12-31,12.5,9.0,New Year Eve
2026-1-01,12.5,9.0,New Year Eve
2026-1-02,10.5,9.0,New Year Eve
2026-1-03,12.5,7.0,New Year Eve
